,angle,direction,average_height,smoothed_height,double_smoothed_height
260,159,0,8.666666666666666,8.791111111111112,8.784444444444444
261,160,0,8.85,8.754444444444445,8.795
262,161,0,8.886666666666667,8.80111111111111,8.835555555555556
263,162,0,9.383333333333333,9.04,8.915555555555555
264,163,0,9.283333333333333,9.184444444444443,8.969444444444443
265,164,0,9.346666666666666,9.337777777777776,9.069444444444445
266,165,0,9.403333333333334,9.344444444444443,9.192222222222222
267,166,0,9.293333333333335,9.347777777777779,9.26611111111111
268,167,0,9.206666666666665,9.301111111111112,9.319444444444445
269,168,0,9.076666666666666,9.192222222222222,9.268333333333333
270,169,0,8.956666666666665,9.079999999999998,9.213888888888889
271,170,0,9.106666666666667,9.046666666666667,9.173888888888888
272,171,0,9.28,9.114444444444443,9.153333333333334
273,172,0,9.28,9.222222222222221,9.151111111111112
274,173,0,9.296666666666667,9.285555555555554,9.166111111111112
275,174,0,8.996666666666668,9.19111111111111,9.152777777777779
276,175,0,9.14,9.144444444444446,9.183333333333335
277,176,0,9.156666666666666,9.097777777777779,9.191666666666668
278,177,0,9.156666666666666,9.151111111111112,9.171111111111111
279,178,0,8.996666666666668,9.103333333333333,9.123888888888889
280,179,0,9.156666666666666,9.103333333333333,9.100555555555555
281,180,0,8.979999999999999,9.044444444444444,9.097777777777779
